Band,Genre,Subgenre,Song Title,Lyrics,neg,neu,pos,compound
Metallica,Metal,Heavy Metal,Enter Sandman,"Say your prayers, little one, don't forget, my son To include everyone I tuck you in, warm within, keep you free from sin'Til the Sandman, he comesSleep with one eye open Gripping your pillow tightExit light Enter night Take my hand We're off to never-never landSomething's wrong, shut the light, heavy thoughts tonight And they aren't of Snow White Dreams of war, dreams of liars, dreams of dragons' fire And of things that will bite, yeahSleep with one eye open Gripping your pillow tightExit light Enter night Take my hand We're off to never-never land YeahNow, I lay me down to sleep(Now, I lay me down to sleep)Pray the Lord my soul to keep(Pray the Lord my soul to keep)If I die before I wake(If I die before I wake)Pray the Lord my soul to take(Pray the Lord my soul to take)Hush little baby, don't say a word And never mind that noise you heard It's just the beasts under your bed In your closet, in your headExit light Enter night Grain of sand Exit light Enter night Take my hand We're off to never-never land(Yeah, haha haha)Oh, yeah-yeah, yo-oh We're off to never-never land Take my hand We're off to never-never land Take my hand We're off to never-never land We're off to never-never land We're off to never-never land We're off to never-never land",0.081,0.786,0.133,0.8779
Metallica,Metal,Heavy Metal,Master of Puppets,"End of passion play, crumbling away I'm your source of self-destruction Veins that pump with fear, sucking darkest clear Leading on your death's constructionTaste me, you will see More is all you need Dedicated to How I'm killing youCome crawling faster (Faster)Obey your master (Master)Your life burns faster (Faster)Obey yourMaster, master Master of puppets, I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can't see a thing Just call my name 'cause I'll hear you scream Master, master Just call my name 'cause I'll hear you scream Master, masterNeedlework the way, never you betray Life of death becoming clearer Pain monopoly, ritual misery Chop your breakfast on a mirrorTaste me, you will see More is all you need Dedicated to How I'm killing youCome crawling faster (Faster)Obey your master (Master)Your life burns faster (Faster)Obey yourMaster, master Master of puppets, I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can't see a thing Just call my name 'cause I'll hear you scream Master, master Just call my name 'cause I'll hear you scream Master, master(Master, master, master, master)Master, master Where's the dreams that I've been after?Master, master You promised only lies Laughter, laughter All I hear or see is laughter Laughter, laughter Laughing at my cries Fix meHell is worth all that, natural habitat Just a rhyme without a reason Never-ending maze, drift on numbered days Now your life is out of seasonI will occupy I will help you die I will run through you Now I rule you tooCome crawling faster (Faster)Obey your master (Master)Your life burns faster (Faster)Obey yourMaster, master Master of puppets, I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can't see a thing Just call my name 'cause I'll hear you scream Master, master Just call my name 'cause I'll hear you scream Master, master",0.136,0.714,0.15,0.3111
Metallica,Metal,Heavy Metal,The Unforgiven,"New blood joins this earth And quickly he's subdued Through constant pained disgrace The young boy learns their rules With time, the child draws in This whipping boy done wrong Deprived of all his thoughts The young man struggles on and on, he's known Ooh, a vow onto his own, that never from this day His will they'll take away, yeahWhat I've felt, what I've known Never shined through in what I've shown Never be, never see Won't see what might have been What I've felt, what I've known Never shined through in what I've shown Never free, never me So I dub thee unforgivenThey dedicate their lives To running all of his He tries to please them all This bitter man he is Throughout his life the same He's battled constantly This fight he cannot win A tired man they see no longer cares The old man then prepares to die regretfully That old man here is me, yeahWhat I've felt, what I've known Never shined through in what I've shown Never be, never see Won't see what might have been What I've felt, what I've known Never shined through in what I've shown Never free, never me So I dub thee unforgivenWhat I've felt, what I've known Never shined through in what I've shown Never be, never see Won't see what might have been What I've felt, what I've known Never shined through in what I've shown Never free, never me So I dub thee unforgiven, oh-woahNever free, never me So I dub thee unforgiven You labeled me, I'll label you So I dub thee unforgiven Never free, never me So I dub thee unforgiven You labeled me, I'll label you So I dub thee unforgiven Never free, never me So I dub thee unforgiven",0.156,0.82,0.024,-0.9905
Metallica,Metal,Heavy Metal,Fade to Black,"Life, it seems, will fade away Drifting further every day Getting lost within myself Nothing matters, no one else I have lost the will to live Simply nothing more to give There is nothing more for me Need the end to set me freeThings not what they used to be Missing one inside of me Deathly lost, this can't be real Cannot stand this hell I feel Emptiness is filling me To the point of agony Growing darkness taking dawn I was me, but now he's goneNo one but me can save myself, but it's too late Now I can't think, think why I should even try Yesterday seems as though it never existed Death greets me warm, now I will just say goodbye(Goodbye)",0.133,0.766,0.102,0.2047
Metallica,Metal,Heavy Metal,For Whom the Bell Tolls,"Make his fight, on the hill, in the early day Constant chill deep inside Shouting gun, on they run, through the endless grey On they fight, for the right, yes, but who's to say?For a hill, men would kill — Why? They do not know Stiffened wounds test their pride Men of five, still alive, through the raging glow Gone insane from the pain that they surely knowFor whom the bell tolls Time marches on For whom the bell tollsTake a look to the sky just before you die It's the last time you will Blackened roar, massive roar, fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now are his eyes to this mystery Hears the silence so loud Crack of dawn, all is gone, except the will to be Now they see what will be, blinded eyes to seeFor whom the bell tolls Time marches on For whom the bell tolls",0.202,0.729,0.07,-0.982
Metallica,Metal,Heavy Metal,Creeping Death,"Slaves, Hebrews born to serve, to the Pharaoh Heed to his every word, live in fear Faith of the unknown one, the deliverer Wait, something must be done, four-hundred yearsSo let it be written, so let it be done I'm sent here by the chosen one So let it be written, so let it be done To kill the first born Pharaoh son, I'm creeping deathNow, let my people go, land of Goshen Go, I will be with thee bush of fire Blood, running red and strong down the Nile Plague, darkness three days long, hail to fireSo let it be written, so let it be done I'm sent here by the chosen one So let it be written, so let it be done To kill the first born Pharaoh son, I'm creeping deathDie by my hand (Die! Die! Die! Die!)I creep across the land, killing first-born man (Die! Die! Die! Die!)Die by my hand (Die! Die! Die! Die!)I creep across the land, killing first-born man (Die! Die! Die! Die!)I rule the midnight air, the destroyer Born, I shall soon be there, deadly mass I creep the steps and floor, final darkness Blood, lamb's blood-painted door I shall passSo let it be written, so let it be done I'm sent here by the chosen one So let it be written, so let it be done To kill the first born Pharaoh son, I'm creeping death",0.245,0.708,0.047,-0.9961
Metallica,Metal,Heavy Metal,Sad But True,"Hey (Hey), I'm your life, I'm the one who takes you there Hey (Hey), I'm your life, I'm the one who cares They (They), they betray, I'm your only true friend now They (They), they'll betray, I'm forever thereI'm your dream, make you real I'm your eyes when you must steal I'm your pain when you can't feel Sad but true I'm your dream, mind astray I'm your eyes while you're away I'm your pain while you repay You know it's sad but true Sad but trueYou (You), you're my mask, you're my cover, my shelter You (You), you're my mask, you're the one who's blamed Do (Do), do my work, do my dirty work, scapegoat Do (Do), do my deeds for you're the one who's shamedI'm your dream, make you real I'm your eyes when you must steal I'm your pain when you can't feel Sad but true I'm your dream, mind astray I'm your eyes while you're away I'm your pain while you repay You know it's sad but true Sad but trueI'm your dream I'm your eyes I'm your pain I'm your dream (I'm your dream)I'm your eyes (I'm your eyes)I'm your pain (I'm your pain)You know it's sad but trueHate (Hate), I'm your hate, I'm your hate when you want love Pay (Pay), pay the price, pay for nothing's fair Hey (Hey), I'm your life, I'm the one who took you there Hey (Hey), I'm your life, and I no longer careI'm your dream, make you real I'm your eyes when you must steal I'm your pain when you can't feel Sad but true I'm your truth, telling lies I'm your reasoned alibis I'm inside, open your eyes I'm you Sad but true",0.225,0.585,0.19,-0.9677
Metallica,Metal,Heavy Metal,Ride the Lightning,"Guilty as charged, but dammit, it ain't right There's someone else controlling me Death in the air, strapped in the electric chair This can't be happening to me Who made you God to say""I'll take your life from you""?Flash before my eyes Now it's time to die Burning in my brain I can feel the flameWait for the sign to flick the switch of death It's the beginning of the end Sweat, chilling cold, as I watch death unfold Consciousness, my only friend My fingers grip with fear What am I doing here?Flash before my eyes Now it's time to die Burning in my brain I can feel the flameSomeone help me Oh please, God, help me They're trying to take it all away I don't want to dieSomeone help me Oh please, God, help me They're trying to take it all away I don't want to dieTime moving slow, the minutes seem like hours The final curtain all I see How true is this? Just get it over with If this is true, just let it be Wakened by horrid scream Freed from this frightening dreamFlash before my eyes Now it's time to die Burning in my brain I can feel the flame",0.21,0.618,0.172,-0.9202
Megadeth,Metal,Heavy Metal,Holy Wars... The Punishment Due,"Brother will kill brother, spilling blood across the land Killing for religion, something I don't understand Fools like me, who cross the sea and come to foreign lands Ask the sheep for their beliefs ""do you kill on God's command?""A country that's divided, surely will not stand My past erased, no more disgrace, no foolish naive stand The end is near, it's crystal clear, part of the master plan Don't look now to Israel, it might be your homeland Holy wars...Upon my podium as the “know-it-all” scholar Down in my seat of judgement, gavel's bang, uphold the law Upon my soapbox, a leader out to change the world Down in my pulpit as the “holier-than-thou-could-be-messenger” of GodWage the war on organized crime Sneak attacks, rappel down the rocks, behind the lines Some people risk to employ me, some people live to destroy me Either way, they die... they die!They killed my wife and my baby, with hopes to enslave me First mistake... last mistake!Paid by the alliance to slay all the giants Next mistake... no more mistakes!Fill the cracks in with judicial granite Because I don't say it, don't mean I ain't thinking it Next thing you know, they'll take my thoughts away I know what I said, now I must scream of the overdose And the lack of mercy killings Mercy killings, mercy killings, killings, killings, killingsNext thing you know, they'll take my thoughts away",0.278,0.661,0.061,-0.9967
Megadeth,Metal,Heavy Metal,À Tout le Monde,"Don't remember where I was I realized life was a game The more seriously I took things The harder the rules became I had no idea what it'd cost My life passed before my eyes I found out how little I accomplished All my plans, deniedSo, as you read this, know my friends I'd love to stay with you all Smile when you think of me My body's gone, that's allÀ tout le monde, à tous mes amis Je vous aime, je dois partir These are the last words I'll ever speak And they'll set me freeIf my heart was still alive I know it would surely break And my memories left with you There's nothing more to say Moving on is a simple thing What it leaves behind is hard You know the sleeping feel no more pain And the living all are scarredÀ tout le monde, à tous mes amis Je vous aime, je dois partir These are the last words I'll ever speak And they'll set me freeSo, as you read, know my friends I'd love to stay with you all Please smile, smile when you think about me My body's gone, that's allÀ tout le monde, à tous mes amis Je vous aime, je dois partir These are the last words I'll ever speak And they'll set me free À tout le monde, à tous mes amis Je vous aime, je dois partir These are the last words I'll ever speak And they'll set me free",0.064,0.791,0.145,0.9769
Megadeth,Metal,Heavy Metal,Tornado of Souls,"This morning I made the call The one that ends it all Hanging up, I wanted to cry But dammit, this well's gone dryNot for the money Not for the fame Not for the power Just no more gamesBut now I'm safe in the eye of a tornado I can't replace the lies that let a thousand days go No more living trapped inside, in her way I'll surely die In the eye of the tornado, blow me awayYou'll grow to loathe my name You'll hate me just the same You won't need your breath And soon you'll meet your deathNot from the years Not from the use Not from the tears Just self-abuseBut now I'm safe in the eye of a tornado I can't replace the lies that let a thousand days go No more living trapped inside, in her way I'll surely die In the eye of the tornado, blow me awayWho's to say what's for me to say?Who's to say what's for me to be?Who's to say what's for me to do?'Cause a big nothing it'll be for meThe land of opportunity The golden chance for me My future looks so bright Now I think I've seen the lightCan't say what's on my mind Can't do what I really feel In this bed I made for me Is where I sleep, I really feelI warn you of the fate Proven true too late Your tongue twists perverse Come drink now of this curse And now I fill your brain I spin you round again My poison fills your head As I tuck you into bed You'll feel my fingertips You won't forget my lips You'll feel my cold breath It's the kiss of death",0.192,0.692,0.116,-0.9841
Megadeth,Metal,Heavy Metal,Symphony of Destruction,"You take a mortal man And put him in control Watch him become a god Watch people's heads a'rollA'roll, a'roll...Just like the Pied Piper Led rats through the streets We dance like marionettes Swaying to the symphony of destructionActin' like a robot Its metal brain corrodes You try to take its pulse Before the head explodesExplodes, explodes...Just like the Pied Piper Led rats through the streets We dance like marionettes Swaying to the symphony Just like the Pied Piper Led rats through the streets We dance like marionettes Swaying to the symphony Swaying to the symphony of destructionThe Earth starts to rumble World powers fall A'warring for the heavens A peaceful man stands tallA'tall, a'tall...Just like the Pied Piper Led rats through the streets We dance like marionettes Swaying to the symphony Just like the Pied Piper Led rats through the streets We dance like marionettes Swaying to the symphony Swaying to the symphony of destruction",0.021,0.778,0.201,0.9794
Megadeth,Metal,Heavy Metal,Peace Sells,"What do you mean I ""don't believe in God?""I talk to Him every day What do you mean I ""don't support your system?""I go to court when I have to What do you mean I ""can't get to work on time?""Got nothing better to do And, what do you mean I ""don't pay my bills?""Why do you think I'm broke? Huh?If there's a new way Oh, I'll be the first in line But it better work this timeWhat do you mean I ""hurt your feelings?""I didn't know you had any feelings What do you mean I ""ain't kind?""I'm just not your kind What do you mean I ""couldn't be the president Of the United States of America?""Tell me something It's still ""we the people"", right?If there's a new way Oh, I'll be the first in line But it better work this timeOh-oh-ohCan you put a price on peace?Peace, peace sells Peace, peace sells!Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?Peace sells, but who's buying?No, no-no-no-no Peace sells(Peace sells)Peace sells!Argh!",0.087,0.8,0.113,0.8741
Megadeth,Metal,Heavy Metal,In My Darkest Hour,"In my hour of need Ha, no, you're not there And though I reached out for you Wouldn't lend a hand Through the darkest hour Your grace did not shine on me Feels so cold Very cold, no one cares for me Did you ever think I'd get lonely?Did you ever think that I needed love?Did you ever think to stop thinking?You're the only one that I'm thinking of You'll never know how hard I tried To find my space and satisfy you tooThings will be better (Better, better)When I'm dead and gone Don't try to understand Knowing you, I'm probably wrongBut, oh, how I lived my life for you'Til you turned away Now, as I die for you My flesh still crawls as I breathe your name All these years, I thought I was wrong Now I know it was you Raise your head Raise your face, your eyes, tell me who you think you areI walk, I walk alone To the promised land There's a better place for me But it's far, far away Everlasting life for me In a perfect world But I gotta die first Please, God, send me on my wayTime has a way of taking time Loneliness is not only felt by fools Alone, I call to ease the pain, yearning to be held by you, alone So alone, I'm lost, consumed by the pain The pain, the pain, the pain; won't you hold me again?You just laughed, ha-ha, bitch Whole life is work built on the past, time has come When all things shall pass, this good thing passed away",0.217,0.66,0.123,-0.9874
Megadeth,Metal,Heavy Metal,Sweating Bullets,"Hello, me, meet the real me and my misfit's way of life A dark, black past is my most valued possession Hindsight is always 20-20But looking back, it's still a bit fuzzy You speak of mutually assured destruction Nice story, tell it to Reader's DigestFeeling paranoid, true enemy or false friend?Anxiety's attacking me and my air is getting thin I'm in trouble for the things I haven't got to yet I'm chomping at the bit and my palms are getting wet Sweating bulletsHello, me, it's me again You can subdue, but never tame me It gives me a migraine headache, sinking down to your level Yeah, just keep on thinking it's my fault And stay an inch or two out of kicking distance Mankind has got to know his limitationsFeeling claustrophobic like the walls are closing in Bloodstains on my hands and I don't know where I've been Oh, I'm in trouble for the things I haven't got to yet I'm sharpening the axe and my palms are getting wet Sweating bulletsI hear it in here...Blood stains on my... hands The big axe...Ha, ha, ha, ha, ha...Sweating, sweating Sweating, sweating Sweating, sweatingWell, me, it's nice talking to myself A credit to dementia Someday, you too, will know my pain And smile its black-toothed grin If the war inside my head won't take a day off, I'll be dead My icy fingers claw your back Here I come againFeeling paranoid, true enemy or false friend?Anxiety's attacking me, and my air is getting thin Feeling claustrophobic like the walls are closing in Bloodstains on my hands and I don't know where I've beenOnce you've committed me (Committed me)Now you've acquitted me (Acquitted me)Claiming validity (Validity)For your stupidity (Stupidity)I'm chomping at the bit I'm sharpening the axe Oh, here I come again, whoa!Sweating bullets",0.142,0.713,0.145,-0.5276
Megadeth,Metal,Heavy Metal,Hangar 18,"Welcome to our fortress tall I'll take some time to show you around Impossible to break these walls For, you see, the steel is much too strong Computer banks to rule the world Instruments to sight the starsPossibly I've seen too much Hangar 18, I know too muchForeign life forms, inventory Suspended state of cryogenics Selective amnesia's the story Believed, foretold, but who would suspect?The military intelligence Two words combined that can't make sensePossibly I've seen too much Hangar 18, I know too much",0.023,0.883,0.094,0.7391
Megadeth,Metal,Heavy Metal,Rust in Peace... Polaris,"""Tremble, you weaklings, cower in fear I am your ruler - land, sea, and air Immense in my girth, erect I stand tall I am a nuclear murderer, I am Polaris""Ready to pounce at the touch of a button My system's locked in on military gluttons I rule on land, air, and sea I pass judgement on humanity Winds blow from the bowels of Hell Will we give warning? Only time will tell Satan rears his ugly head To spit into the windI spread disease like a dog, discharge my payload A mile high, rotten egg air of death wrestles your nostrils I spread disease like a dog, discharge my payload A mile high, rotten egg air of death wrestles your nostrilsLaunch the Polaris The end doesn't scare us When will this cease?The warheads will all rust in peace""Bomb shelters filled to the brim Heh, survival, such a silly whim World leaders sell missiles cheap Your stomach turns, your flesh creeps""I rule on land, air, and sea Pass judgment on humanity Winds blow from the bowels of Hell Will we give warning? Only time will tellI spread disease like a dog, discharge my payload A mile high, rotten egg air of death wrestles your nostrils I spread disease like a dog, discharge my payload A mile high, rotten egg air of death wrestles your nostrilsLaunch the Polaris The end doesn't scare us When will this cease?The warheads will all rust in peace""High priest of holocaust, fire from the sea Nuclear winter, spreading disease The day of final conflict, all pay the price The third world war rapes peace, takes life""Back to the start, talk of the part When the Earth was cold as ice Total dismay as the sun passed away And the days were black as nightI spread disease like a dog, discharge my payload A mile high, rotten egg air of death wrestles your nostrils I spread disease like a dog, discharge my payload A mile high, rotten egg air of death wrestles your nostrilsLaunch the Polaris It doesn't scare us When will this cease?The warheads will all rust in peaceEradication of Earth's population loves Polaris Eradication of Earth's population loves PolarisEradication of Earth's population loves Polaris Eradication of Earth's population loves Polaris",0.205,0.699,0.096,-0.9943
Megadeth,Metal,Heavy Metal,Mechanix,"Imagine you were at my station And you brought your motor to me You're a burner, yeah, a real motor carSaid you wanna get your order filled Made me shiver when I put it in Pumping just won't do, y'know, lucky for youWhoever thought you'd be better At turning a screw than me?I do it for my life Made my drive shaft crank, made my pistons bulge Made my ball bearings melt from the heat Oh, yeah-yeah!We were shifting gears hard when we took off Put tonight all four on the floor When we hit top end, you know it feels too slowSaid you wanna get your order filled Made me shiver when I put it in Pumping just won't do, y'know, lucky for youWhoever thought you'd be better At turning a screw than me?I do it for my life Made my drive shaft crank, made my pistons bulge Made my ball bearings melt from the heat Oh, yeah-yeah!I'm giving you my room service And you know it's more than enough Oh, one more time, you know I'm in loveSaid you wanna get your order filled Made me shiver when I put it in Pumping just won't do, y'know, lucky for youWhoever thought you'd be better At turning a screw than me?I do it for my life; fuck yeah!Made my drive shaft crank, made my pistons bulge Made my ball bearings melt from the heat Oh, yeah-yeah!Huh!Hahahahaha!Yeah!",0.072,0.867,0.061,0.5736
Slayer,Metal,Heavy Metal,Angel of Death,"Ah!Auschwitz, the meaning of pain The way that I want you to die Slow death, immense decay Showers that cleanse you of your life Forced in; like cattle, you run Stripped of your life's worth Human mice for the angel of death Four hundred thousand more to dieAngel of death Monarch to the kingdom of the deadSadistic, surgeon of demise Sadist of the noblest blood Destroying without mercy To benefit the Aryan race Surgery with no anesthesia Feel the knife pierce you intensely Inferior, no use to mankind Strapped down, screaming out to dieAngel of death Monarch to the kingdom of the dead Infamous butcher Angel of deathPumped with fluid inside your brain Pressure in your skull begins Pushing through your eyes Burning flesh drips away Test of heat burns your skin Your mind starts to boil Frigid cold cracks your limbs How long can you last In this frozen-water burial?Sewn together, joining heads Just a matter of time Till you rip yourselves apartMillions laid out in their Crowded tombs Sickening ways to achieve The HolocaustSeas of blood bury life Smell your death as it burns Deep inside of you Abacinate, eyes that bleed Praying for the end of Your wide-awake nightmare Wings of pain reach out for you His face of death staring down Your blood's running cold Injecting cells, dying eyes Feeding on the screams of The mutants he's creatingPathetic, harmless victims Left to die Rancid angel of death Flying freeAngel of death Monarch to the kingdom of the dead Infamous butcher Angel of death Angel of death",0.299,0.663,0.037,-0.9982
Slayer,Metal,Heavy Metal,Slayerr,"Fell addicted to codeine, put it to the side Falling down, I'm down and out I cannot love her I'm a slayer (Lil Uzi Vert, Lil Uzi Vert)Young Lombardo, I'm a slayer (Lil Uzi Vert, Lil Uzi Vert)Yeah (8-8-8-8)Young Lombardo, I'm a slayer (Yeah)Young Lombardo, I'm a slayer (Yeah)Young Lombardo, I'm a slayer (Yeah)Young Lombardo, I'm a slayerYeah, she's in love with a rager (Yeah)She's a rockstar, everybody said, ""Don't date her"" (Come on)I'm no dummy, no, I do not have a cape, sir (Oh, yeah)I just wanted to have my way, didn't mean to save her (No)She's in love with a rager (Yeah)She's a rockstar, everybody said, ""Don't date her"" (Oh, yeah)I'm no dummy, no, I do not have a cape, sir (Oh, come on)I just wanted to have my way, didn't mean to save her (No)Rockstar lifestyle, guitar got the Fenders (Yeah, uh)My bitch went to Miami, got a lil' tanner (Oh, yeah, uh)We got way more cards than the scammers (Oh, yeah, uh)I'm in outer space, not a lander No, no, no, no, girl, you can't be scared If you wanna do what I do, then you gotta sit in that chair (Yeah)It's a whole opposite life, I swear this shit is not weird (No)If you open your eyes, then I'll know everything gon' be clearYeah, she's in love with a rager (Yeah)She's a rockstar, everybody said, ""Don't date her"" (Come on)I'm no dummy, no, I do not have a cape, sir (Oh, yeah)I just wanted to have my way, didn't mean to save her (No)She's in love with a rager (Oh, yeah)She's a rockstar, everybody said, ""Don't date her"" (Oh, yeah)I'm no dummy, no, I do not have a cape, sir (Oh, come on)Young Lombardo, yeah, your girlfriend, I'ma slay herBetty Crocker, she a caker (Uh)She give me the chance, I hit her like a Raider (Oh, yeah)My new crib, this shit's so big, it is amazin' (Oh, yeah)It came with a hater, it came with a waiter (Wow), uh Harlem bitch, I can't shake ya (Uh), uh I got on my Timbs, them bitches laced up (Up), uh Heavy artillery, my waist up (Uh, pew-pew-pew), uh Got some shit that probably eat yo' face up (Uh), uh Your bitch give me face, just from my waist up (Yeah), uh Dick so long, it's fuckin' up her makeup (Damn), uh She give me that deep, don't do no fake sucks (No)She said this shit taste so good, but bitch you taste nut (Ew)Yeah, she's in love with a rager (Yeah)She's a rockstar, everybody said, ""Don't date her"" (Come on)I'm no dummy, no, I do not have a cape, sir (Oh, yeah)I just wanted to have my way, didn't mean to save her (No)She's in love with a rager (Oh, yeah)She's a rockstar, everybody said, ""Don't date her"" (Oh, yeah)I'm no dummy, no, I do not have a cape, sir (Oh, come on)Young Lombardo, yeah, your girlfriend, I'ma slay herI'm a slayer (Oh yeah)Young Lombardo, I'm a slayer (Yeah, oh yeah)Young Lombardo, I'm a slayer Young Lombardo, I'm a slayer Young Lombardo, I'm a slayer Young Lombardo, I'm a slayer",0.169,0.792,0.038,-0.9957
Slayer,Metal,Heavy Metal,Raining Blood,"Trapped in purgatory A lifeless object, alive Awaiting reprisal Death will be their acquittance The sky is turning red Return to power draws near Fall into me, the sky's crimson tears Abolish the rules made of stonePierced from below, souls of my treacherous past Betrayed by many, now ornaments dripping above Awaiting the hour of reprisal Your time slips awayRaining blood From a lacerated sky Bleeding its horror Creating my structure Now, I shall reign in blood",0.191,0.755,0.054,-0.9201
Slayer,Metal,Heavy Metal,Dead Skin Mask,"How I've waited for you to come I've been here all alone Now that you've arrived Please stay awhile And I promise I won't keep you long I'll keep you forever (Forever, forever, forever)Graze the skin with my fingertips The brush of dead, cold flesh appease the means Provoking images, delicate features so smooth A pleasant fragrance in the light of the moonDance with the dead in my dreams Listen to their hallowed screams The dead have taken my soul Temptation's lost all controlSimple smiles elude psychotic eyes Lose all mind control, rationale declines Empty eyes enslave the creations Of placid faces and lifeless pageantsIn the depths of a mind insane Fantasy and reality are the sameGraze the skin with my fingertips The brush of dead, warm flesh pacifies the means Incised members ornaments on my being Adulating the skin before meSimple smiles elude psychotic eyes Lose all mind control, rationale declines Empty eyes enslave the creations Of placid faces and lifeless pageantsDance with the dead in my dreams (Hello? Hello, Mr. Gein?)Listen to their hallowed screams (Mr. Gein?)The dead have taken my soul (Let me out of here, Mr. Gein)Temptation's lost all control (Mr. Gein? I don't want to play anymore, Mr. Gein)Dance with the dead in my dreams (Mr. Gein, this isn't fun anymore)Listen to their hallowed screams (I don't wanna play anymore, Mr. Gein)The dead have taken my soul (Mr. Gein? I want out of here, Mr. Gein)Temptation's lost all control (Let me out now!)",0.26,0.636,0.104,-0.9936
Slayer,Metal,Heavy Metal,South of Heaven,"An unforeseen future nestled somewhere in time Unsuspecting victims, no warnings, no signs Judgment Day, the Second Coming arrives Before you see the light, you must dieForgotten children conform a new faith Avidity and lust controlled by hate The never-ending search for your shattered sanity Souls of damnation in their own realityChaos rampant in an age of distrust Confrontations, impulsive habitatBastard sons begat your cunting daughters Promiscuous mothers with your incestuous fathers Ingrate souls condemned for all eternity Obtained by immoral observance, a domineering deityChaos rampant in an age of distrust Confrontations, impulsive sabbathOn and on, south of heaven On and on, south of heaven On and on, south of heaven On and on, south of heavenThe root of all evil is the heart of a black soul A force that has lived all eternity The never-ending search for a truth never told The loss of all hope and your dignityChaos rampant in an age of distrust Confrontations, impulsive habitatOn and on, south of heaven On and on, south of heaven On and on, south of heaven On and on, south of heaven",0.204,0.653,0.144,-0.8942
Slayer,Metal,Heavy Metal,Seasons in the Abyss,"Razor's edge Outlines the dead Incisions in my head Anticipation the stimulation To kill the exhilarationClose your eyes Look deep in your soul Step outside yourself And let your mind go Frozen eyes stare deep in your mind as you die Close your eyes And forget your name Step outside yourself And let your thoughts drain As you go insane, go insaneInnate seed To watch you bleed A demanding physical need Desecrated, eviscerated Time's perpetuatedClose your eyes Look deep in your soul Step outside yourself And let your mind go Frozen eyes stare deep in your mind as you die Close your eyes And forget your name Step outside yourself And let your thoughts drain As you go insane, go insaneInert flesh A bloody tomb A decorated splatter brightens the room An execution, a sadist ritual Mad intervals of mind residualsClose your eyes Look deep in your soul Step outside yourself And let your mind go Frozen eyes stare deep in your mind as you die Close your eyes And forget your name Step outside yourself And let your thoughts drain As you go insane, go insane",0.21,0.772,0.018,-0.9908
Slayer,Metal,Heavy Metal,Evil Has No Boundaries,"Ah!Blasting our way through the boundaries of Hell No one can stop us tonight We take on the world with hatred inside Mayhem, the reason we fight Surviving the slaughters and killing we've lost Then we return from the dead Attacking once more now with twice as much strength We conquer, then move on aheadEvil My words defy Evil Has no disguise Evil Will take your soul Evil My wrath unfoldsSatan, our master in evil mayhem Guides us with every first step Our axes are growing with power and fury Soon, there'll be nothing else left Midnight has come and the leathers strapped on Evil is at our command We clash with God's angels and conquer new souls Consuming all that we canEvil Aah, haha Evil Has no disguise Evil Will take your soul Evil My wrath unfolds",0.388,0.561,0.051,-0.9969
Slayer,Metal,Heavy Metal,Postmortem,"Funeral held for the depression of man Holds the key to his own death Entering a tomb of a corpse yet conceived Tighten the tourniquet around your neck Sifting away the debris of hated life Cold touch of death begins to chill your spine Seeking life beyond your perishment Repeating words echoing through your mindChanting lines of blind witchery To save yourself from extinction Wanting to die is your reason to live New life born from the oppressed Taste your blood as it trickles through the air Another casualty, beyond the shadows you fall Losing ground, the fate you feel draws near Fatality, reality, await the final callMy sinful glare at nothing holds thoughts of death behind it Skeletons in my mind commence tearing at my sanity Vessels in my brain carrying death until my birth Come and die with me forever, share insanity Do you wanna die?!The waves of blood are rushing near, pounding at the walls of lies Turning off my sanity, reaching back into my mind Non-rising body from the grave showing new reality What I am, what I want, I’m only after death",0.296,0.657,0.046,-0.9964
